Year,Local / Regional Government,Country,Report(s),Language,URL
2020,Accra,Ghana,Voluntary Local Review,English,https://www.uneca.org/sites/default/files/TCND/voluntary-local-reviews-africa/Accra-VLR.pdf
2022,City of Toyota,Japan,Toyota City Voluntary Local Review 2022,English,https://sdgs.un.org/sites/default/files/vlrs/2022-07/toyota_city_vlr_2022.pdf
2021,Province of DKI Jakarta,Indonesia,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/vlrs/2023-01/sdcc_dki_jakarta_vlr.pdf
2022,Region of Lombardy,Italy,Voluntary Local Review of Lombardy,English,https://sdgs.un.org/sites/default/files/vlrs/2022-07/lombardy_voluntary-local-review-rl-eng-high-quality_english.pdf
2022,Region of Lombardy,Italy,Voluntary Local Review Della Lombardia,Italian,https://sdgs.un.org/sites/default/files/vlrs/2022-07/lombardy_voluntary-local-review-rl-ita-high-quality_italian.pdf
2022,City of Amman,Jordan,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/vlrs/2022-12/220929-vlr_amman.pdf
2021,City of London,United Kingdom,London’s Progress Towards Meeting the UN’s Sustainable Development Goals,English,https://sdgs.un.org/sites/default/files/vlrs/2023-06/londons_progress_towards_the_un_sdgs.pdf
2023,Municipality of Utrecht,Netherlands,Report on the implementation of the Sustainable Development Goals,English,https://sdgs.un.org/sites/default/files/vlrs/2024-01/utrecht-vlr-2023.pdf
2020,Montevideo City Government,Uruguay,Montevideo Sustainable Development Goals - First Voluntary Review 2020,English,https://sdgs.un.org/sites/default/files/2021-01/Montevideo%20LVR%202020.pdf
2023,City of Buenos Aires,Argentina,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/vlrs/2023-08/buenosairesvlr2023_eng.pdf
2023,City of Buenos Aires,Argentina,Reporte Local Voluntario,Spanish,https://sdgs.un.org/sites/default/files/vlrs/2023-08/buenosairesvlr2023_spa.pdf
2022,City of Buenos Aires,Argentina,Voluntary Local Review 2022,English,https://sdgs.un.org/sites/default/files/vlrs/2022-10/ba_vlr_2022_english.pdf
2022,City of Buenos Aires,Argentina,Reporte Local Voluntario 2022,Spanish,https://sdgs.un.org/sites/default/files/vlrs/2022-10/ba_vlr_2022_espanol.pdf
2020,City of Buenos Aires,Argentina,Voluntary Local Review - Buenos Aires Adaptation of the 2030 Agenda (2020),English,https://sdgs.un.org/sites/default/files/vlrs/2021-06/vlr_ba_2020_eng.pdf
2019,City of Buenos Aires,Argentina,Voluntary Local Review Building a sustainable and inclusive Buenos Aires,English,https://sdgs.un.org/sites/default/files/2020-09/buenos_aires_voluntary_local_review_1_0.pdf
2022,Bogota,Columbia,Voluntary Local Review,English,https://bogota.gov.co/bog/voluntary_local_review_sdgs_bogota_2022.pdf
2021,City of Los Angeles,United States,2021 Voluntary Local Review of Progress Toward The Sustainable Development Goals in Los Angeles,English,https://sdgs.un.org/sites/default/files/vlrs/2021-11/losangeles_2021_vlr.pdf
2021,City of Orlando,United States,Orlando and the Sustainable Development Goals - A Voluntary Local Review of Progress,English,https://sdgs.un.org/sites/default/files/2021-11/Orlando%20VLR%202021.pdf
2020,City of Pittsburgh,United States,Pittsburgh and the Sustainable Development Goals - A Voluntary Local Review of Progress,English,https://sdgs.un.org/sites/default/files/2020-12/Pittsburgh%20VLR%202020%20Final%20Draft.pdf
2020,State of Hawai'i,United States,ALOHA+ CHALLENGE 2020 BENCHMARK REPORT: Hawai‘i’s Voluntary Local Review of Progress on the Sustainable Development Goals,English,https://sdgs.un.org/sites/default/files/vlrs/2022-03/hawaii_vlr_aloha_2020_benchmark_report_fullreport.pdf
2019,City of Los Angeles,United States,Toolbar items Manage Administration menu Tools Content Shortcuts dannia.philipp@un.org A Voluntary Local Review of Pr,English,https://sdgs.un.org/sites/default/files/vlrs/2021-06/las_voluntary_local_review_of_sdgs_2019.pdf
2018,City of New York,United States,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/2020-09/NYC_VLR_2018_FINAL.pdf
