Year,Local / Regional Government,Country,Report(s),Language,URL,UUID
2021,City of Yokohama,Japan,VOLUNTARY LOCAL REVIEW 2021 YOKOHAMA - Report on the Implementation of the 2030 Agenda for Sustainable Development,English,https://sdgs.un.org/sites/default/files/vlrs/2021-12/vlr_2021_yokohama_for-web2.pdf,216638cc-becd-490a-8333-b703486e5402
2021,Tokyo Metropolitan Government,Japan,Tokyo Sustainability Action,English,https://sdgs.un.org/sites/default/files/vlrs/2022-04/tokyo_sustainability_action.pdf,3e3504d3-9775-456c-bd1d-d47c3b7387d8
2023,Brisbane City Council,Australia,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/vlrs/2024-01/brisbane_2023_en.pdf,cc382f07-31fe-480f-b4ae-474e7e335585
2023,City of Cordoba,Mexico,Informe Local Voluntario 2023,Spanish,https://sdgs.un.org/sites/default/files/vlrs/2024-04/ilv_cordoba_2023_0.pdf,46ab7e86-4443-4d1d-b7bd-e95cc07a763e
2023,City of Ghent,Belgium,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/vlrs/2024-01/ghent-vlr-2023.pdf,7fe4389f-37e9-46bc-8466-5f53d2f0d779
2023,Government of the State of Hawai'i,United States,The Future We Want for HAWAI‘I,English,https://sdgs.un.org/sites/default/files/vlrs/2023-08/hawaii_vlr_2023.pdf,9bab4f62-ee29-4469-b769-be1c5ee5e57f
2023,City of Jambi,Indonesia,vlr_jambi_city_2023.pdf,English,https://sdgs.un.org/sites/default/files/vlrs/2024-07/vlr_jambi_city_2023.pdf,f4cf718b-ab77-48e2-836b-11c421dce327
2023,Government of the State of Pará,Brazil,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/vlrs/2024-02/para_reviewsdg_2023_en.pdf,6dd3ac12-bf52-476e-a3d9-1a2221449591
2023,Government of the State of Pará,Brazil,Relatório Local Voluntário,Portuguese,https://sdgs.un.org/sites/default/files/vlrs/2024-02/para_relatorioods_2023_br.pdf,6af93a1e-6e20-45c3-ba12-6a07e5a96846
2023,Municipality of Sepang,Malaysia,Voluntary Local Review,English,https://sdgs.un.org/sites/default/files/vlrs/2023-08/sepang_vlr_2023.pdf,48a6265f-f83c-46fb-8f67-313d5a82e2cc
